code departement,C,C_C2SNP,C_C2SP
77,24352,1827,375
77,24689,1925,350
77,26045,2009,310
77,26291,1926,350
77,27167,1550,296
77,29696,2427,618
77,30080,2189,645
77,37070,1855,401
77,41688,6890,1100
77,43404,6499,1554
77,56053,7167,1339
77,56129,7689,1266
77,56298,4927,880
77,56794,4951,1080
77,9481,775,112
77,9663,667,121
77,9789,419,63
78,10736,219,41
78,10842,164,33
78,10850,235,47
78,11059,1553,197
78,11066,1408,270
78,11896,762,141
78,12374,468,62
78,12467,422,80
78,13018,586,135
78,14614,759,73
78,14696,833,86
78,14900,335,60
78,15202,711,117
78,15209,463,66
78,15573,574,95
78,16291,357,65
78,16668,202,49
78,16974,751,152
78,17169,332,311
78,18407,984,170
78,18504,802,189
78,19001,2495,446
78,19144,1790,327
78,19153,2333,448
78,19253,819,252
78,19915,1682,394
78,20794,519,112
78,20906,693,219
78,21407,2470,446
78,21442,1372,367
78,21696,2351,471
78,23787,439,104
78,25541,943,257
78,25999,1301,187
78,26176,1345,288
78,28083,1719,315
78,28363,1636,363
78,30473,577,144
78,30692,1022,110
78,30718,1716,358
78,31103,1585,351
78,31809,1096,301
78,33642,1247,217
78,34100,4594,840
78,34205,4255,916
78,36312,2356,369
78,36380,5008,883
78,36699,4897,902
78,39300,3180,600
78,39843,2960,654
78,42654,1495,269
78,45315,7049,1648
78,45515,7746,1589
78,54865,3661,645
78,55241,3311,801
78,81728,3341,787
78,9864,612,110
78,9966,631,123
79,12183,1335,249
79,12337,1256,321
79,17550,1668,365
79,17809,1595,401
79,58265,7210,2132
79,58436,6737,2277
79,8627,949,238
80,121621,23443,5857
80,122577,23088,6461
80,20908,3796,932
80,20908,3983,810
80,8678,1244,240
81,11956,1420,422
81,12098,1349,523
81,13253,1357,434
81,13404,1277,476
81,38356,4995,1504
81,38386,5256,1414
81,46439,7129,2330
81,46907,7010,2556
81,5431,671,160
81,5433,688,181
81,8486,1206,306
81,8624,1221,365
81,9190,1233,262
81,9843,666,253
82,10498,1266,367
82,10563,1131,427
82,11678,1439,331
82,58392,7946,2426
82,58983,7504,2584
83,11033,798,206
83,11205,705,198
83,11278,1129,148
83,11552,566,207
83,12350,469,114
83,12981,873,300
83,15029,637,181
83,150802,24570,5318
83,153069,24254,5885
83,15654,653,138
83,16362,2277,428
83,16697,755,226
83,16721,869,192
83,16804,703,193
83,16927,2207,539
83,21262,1299,399
83,23274,1934,814
83,23788,1840,932
83,35106,2024,633
83,35517,4776,939
83,36696,4674,1167
83,36774,2250,598
83,47491,4034,1093
83,49047,4103,1252
83,53857,5171,1117
83,55473,5102,1342
83,60772,7877,1797
83,61825,7589,2075
83,9326,1036,187
83,9326,1086,188
83,9687,985,224
83,9708,1043,253
83,9771,479,144
83,9879,473,115
84,10103,1160,324
84,11487,756,214
84,11812,710,281
84,11891,848,389
84,12900,1512,336
84,13066,1384,328
84,16290,2170,482
84,17053,2112,606
84,17723,1197,326
84,18364,1151,350
84,19073,2274,505
84,19108,1640,371
84,19421,1601,433
84,19515,2170,624
84,23769,3055,767
84,23894,2809,964
84,25335,3130,851
84,26084,3063,897
84,26223,3399,854
84,27326,3424,908
84,7999,761,227
84,8164,776,253
84,89510,18192,3925
84,91663,17146,4611
84,9498,399,130
84,9803,1198,297
85,11622,1162,346
85,11944,1086,367
85,12039,405,138
85,15491,525,259
85,19025,393,158
85,20415,804,332
85,44303,1752,780
85,52539,6544,2587
85,53743,6143,2695
86,31212,6111,1046
86,31317,5974,1240
86,6668,436,225
86,6682,414,240
86,73894,13707,3190
86,74136,14300,2642
86,9146,1265,197
86,9175,1304,173
87,111306,19405,4375
87,113303,18311,4751
87,9464,472,233
87,9636,953,235
88,18340,3374,654
88,18923,3251,726
88,30355,6051,1606
88,31106,5841,1872
88,6574,760,208
88,6918,695,260
88,7821,1039,208
88,8058,965,259
89,24424,3912,739
89,24648,3578,1023
89,33194,4114,1854
89,33267,4353,1666
89,6310,1072,206
89,6401,1002,277
89,8215,1537,268
89,8325,1577,259
90,3961,335,72
90,4006,353,111
90,4079,404,59
90,4119,387,83
90,42472,7372,1454
90,42595,7484,1661
90,4852,461,116
90,4871,460,104
91,10253,732,68
91,10310,323,33
91,10778,387,60
91,10937,820,153
91,10987,1329,194
91,11061,826,156
91,11314,1334,217
91,11831,1355,293
91,12003,1475,255
91,13818,626,76
91,14519,513,72
91,14659,584,98
91,15761,502,56
91,16443,1230,189
91,19445,368,76
91,19460,1235,216
91,20299,1624,262
91,20623,1587,266
91,20748,1548,323
91,20748,1630,399
91,21037,1324,206
91,23372,1843,244
91,23554,1850,362
91,23974,2334,379
91,23983,1365,222
91,24166,2295,541
91,24223,1356,270
91,24444,2261,384
91,24597,1984,454
91,25061,1952,256
91,25551,1984,345
91,26497,929,130
91,26880,1543,315
91,27606,1479,357
91,27665,5422,972
91,28015,5908,803
91,29735,3273,462
91,30151,3307,648
91,30384,2864,434
91,30618,2785,615
91,31983,3036,467
91,32101,2740,705
91,34493,2894,436
91,34563,1709,573
91,34669,2597,441
91,34970,2408,582
91,35387,3004,659
91,35839,2330,351
91,36224,2245,431
91,50783,3667,708
91,51318,6961,1127
91,51641,6551,1299
91,51752,3719,784
91,5912,370,85
91,6176,370,121
91,6938,279,42
91,7010,232,42
91,72928,11090,2548
91,73297,11288,2052
91,8984,593,131
91,9093,595,130
91,9407,297,59
91,9500,470,92
91,9834,568,83
92,121138,3168,700
92,17735,515,128
92,18583,356,74
92,19008,741,114
92,20468,644,143
92,22000,1350,217
92,22647,745,163
92,24995,2716,682
92,25244,794,192
92,25274,2838,545
92,26000,607,148
92,28037,1741,344
92,28793,1026,215
92,29826,880,126
92,31008,601,291
92,31775,1814,469
92,31841,1762,500
92,35504,1461,278
92,41676,4024,1033
92,41770,4041,769
92,45358,1681,400
92,45807,1900,405
92,47803,1686,372
92,47915,1581,268
92,49429,6110,1485
92,49712,6154,1062
92,52310,2588,550
92,59934,5107,1254
92,60979,5409,984
92,62006,2564,475
92,62545,2536,649
92,65645,1008,262
92,66601,1624,360
92,66625,2107,426
92,80604,2350,523
92,90066,5586,1298
92,90101,7409,1707
92,90382,3402,866
92,90387,7789,1292
92,91165,5683,1011
92,98910,11070,2349
92,99349,11083,1626
93,10425,2268,144
93,10753,2303,116
93,110267,22315,1308
93,110571,22957,1223
93,113586,16546,926
93,114117,16305,1060
93,12897,2464,192
93,14775,947,49
93,15846,2605,175
93,15852,2632,144
93,16415,1966,150
93,16510,1958,142
93,20660,1701,116
93,22227,1856,95
93,23122,2716,137
93,27126,4515,264
93,27495,4561,323
93,29248,3166,204
93,29366,7850,360
93,29492,3156,195
93,30023,8323,344
93,31349,4492,280
93,31548,6475,389
93,31557,6733,319
93,32861,4615,262
93,35490,4599,421
93,36425,4754,455
93,37204,3809,352
93,37733,6158,405
93,37814,3985,344
93,38696,6100,422
93,39264,5451,388
93,39299,8674,502
93,39309,9093,459
93,39792,4195,313
93,39926,5455,410
93,40276,4229,317
93,43970,9934,617
93,44016,9958,542
93,44292,8031,509
93,44680,7971,501
93,45001,5849,349
93,47240,6158,285
93,47417,6022,398
93,51878,7171,494
93,52599,7033,540
93,52797,9360,563
93,53231,9569,626
93,54542,9324,574
93,55155,9567,543
93,56363,11236,547
93,56665,11301,662
93,57753,8757,530
93,57893,10446,622
93,57911,8844,536
93,58626,10476,612
93,61113,15317,1022
93,61766,15519,1279
93,69175,7741,525
93,70911,7519,561
93,74017,13997,697
93,74883,14223,705
93,8219,1539,135
93,85709,20942,1004
93,86134,21027,990
93,86314,13850,848
93,87246,14173,900
94,10304,282,32
94,10564,413,80
94,11277,596,130
94,12482,565,124
94,14983,2307,375
94,15056,2252,357
94,15842,742,86
94,16792,1946,292
94,17076,1782,395
94,17122,2178,348
94,17370,1934,425
94,17808,1777,300
94,17909,936,179
94,18262,1952,707
94,18385,1868,935
94,18754,943,211
94,18791,1557,219
94,19005,1423,276
94,20444,1993,308
94,20552,2041,379
94,20831,516,112
94,21089,1970,286
94,21989,2135,351
94,22219,2111,396
94,22833,3204,522
94,22966,2988,603
94,25025,2471,343
94,25598,2109,313
94,25604,1521,188
94,25868,2416,450
94,27530,2061,382
94,27704,2189,441
94,28835,1173,215
94,28886,2319,376
94,28952,2220,438
94,29489,2377,372
94,30005,2411,418
94,30431,2360,475
94,30888,2382,502
94,31265,1274,211
94,33281,1351,261
94,33622,6316,784
94,33837,6042,1008
94,43035,5225,875
94,43177,4965,959
94,43528,4875,868
94,43670,4631,1112
94,45147,1610,193
94,50741,4022,600
94,51001,3906,754
94,51760,2447,395
94,54469,6009,955
94,55879,5835,1220
94,59628,7502,1148
94,59772,7208,1444
94,73334,2827,661
94,74109,2786,773
94,77083,8816,1275
94,77625,8411,1594
94,91279,12337,1684
94,91291,11939,1927
94,93024,11772,2288
94,93026,12233,1999
95,10718,613,72
95,10894,468,69
95,11618,465,47
95,116655,15760,2076
95,116752,14546,2398
95,12968,1323,174
95,13257,1364,238
95,14917,938,158
95,15145,1396,157
95,15159,753,87
95,15182,1292,226
95,15545,717,79
95,15605,1613,200
95,15694,1572,263
95,15993,822,129
95,16177,787,147
95,16251,939,164
95,16659,904,198
95,17416,1431,200
95,17471,904,143
95,17606,842,188
95,17659,1371,222
95,18028,1315,212
95,18153,1220,269
95,20483,1022,133
95,21573,1504,378
95,21649,1977,285
95,21696,1536,361
95,21765,1838,357
95,23570,1361,223
95,24599,1347,226
95,24758,2327,353
95,24921,2194,467
95,25386,1087,173
95,25402,1449,213
95,25752,1375,285
95,26615,2128,318
95,27108,1969,410
95,27942,3146,574
95,27982,1955,457
95,27986,2141,311
95,28042,3352,440
95,29549,3137,455
95,30328,2342,262
95,30432,3135,534
95,30657,2311,344
95,32083,5490,689
95,32123,5119,855
95,33764,3348,542
95,34972,3300,640
95,35558,4275,461
95,35760,3948,653
95,36027,2483,334
95,37016,2285,485
95,43937,6796,1208
95,44405,7340,936
95,65342,10844,1428
95,65608,9881,1730
95,71987,10248,1192
95,72573,9859,1598
95,9007,962,87
95,9249,874,136
97,10945,3031,542
97,110627,34776,5684
97,111913,32713,7186
97,12795,3986,966
97,12811,4609,680
97,14251,3923,789
97,152595,51535,6154
97,153275,49094,8240
97,24018,8142,1077
97,24677,8088,1360
97,35180,9486,1088
97,35979,9149,1535
97,36254,15999,1736
97,36294,15149,2387
97,36483,12529,2003
97,37223,11970,2455
97,37426,11252,2095
97,38151,10854,2605
97,38890,15774,2976
97,39335,15029,3586
97,40269,18368,1755
97,40921,17791,2347
97,58812,25605,3141
97,59378,24551,4060
97,60515,26325,2836
97,60805,25108,3581
97,78723,29457,4316
97,79641,27688,5855
97,89061,31386,4633
97,90047,29702,6055
